Time (ms),Voltage (mV)
8959.662914276123,1876.5
8966.658353805542,1434.0
8973.542213439941,1095.9375
8981.165409088135,914.0625
8987.996816635132,972.9375
8995.417594909668,1220.625
9002.19440460205,1611.375
9010.866641998291,2230.6875
9018.823623657227,2722.875
9025.94804763794,3010.125
9032.87935256958,3116.8125
9039.708137512207,3024.1875
9047.089099884033,2748.375
9053.874731063843,2340.0
9061.056852340698,1794.375
9067.892789840698,1365.0
9074.78952407837,1052.4375
9081.916570663452,914.0625
9088.764667510986,974.625
9096.087455749512,1280.0625
9102.863788604736,1689.375
9110.054016113281,2157.1875
9118.222951889038,2664.1875
9130.44548034668,3103.875
9137.279033660889,3075.75
9144.507884979248,2855.625
9151.341438293457,2482.875
9158.184289932251,2025.375
9165.25387763977,1565.625
9172.084331512451,1187.0625
9179.317235946655,937.3125
9186.059474945068,932.8125
9194.373369216919,1173.1875
9202.285289764404,1619.25
9209.338426589966,2082.9375
9217.328786849976,2602.6875
9224.799871444702,2977.875
9232.964515686035,3117.0
9239.763259887695,3020.625
9247.156381607056,2742.1875
9253.907680511475,2331.9375
